date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:45	159638/159638	---MCZ	200	added ('OK')	application/javascript	etag:%221d417ca11310c96%22	https://one.encodeinfotech.com/lib/chartjs/chart.min.js	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/chartjs/chart.min.js	(from https://one.encodeinfotech.com/)
18:36:46	4253/4253	---MCZ	200	added ('OK')	application/javascript	etag:%221d417cc4fca0d9d%22	https://one.encodeinfotech.com/js/pages/dashboard-demo.js	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/js/pages/dashboard-demo.js	(from https://one.encodeinfotech.com/)
18:36:49	65479/65479	---MCZ	200	added ('OK')	application/javascript	etag:%221d430fc389874c7%22	https://one.encodeinfotech.com/js/site.min.js?v=atC4TOe3Wp4eKt_eGqit28cev37CwYwW1lmJPl6GCIY	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/js/site.minffd1.js	(from https://one.encodeinfotech.com/)
18:36:54	28196/28196	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221cf96044c3a8124%22	https://one.encodeinfotech.com/lib/open-conic/fonts/open-iconic.eot	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/open-conic/fonts/open-iconic.eot	(from https://one.encodeinfotech.com/lib/open-conic/css/open-iconic-bootstrap.min.css)
18:36:57	28196/28196	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221cf96044c3a8124%22	https://one.encodeinfotech.com/lib/open-conic/fonts/open-iconic.eot?	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/open-conic/fonts/open-iconicd41d.eot	(from https://one.encodeinfotech.com/lib/open-conic/css/open-iconic-bootstrap.min.css)
18:37:00	14984/14984	---M--	200	added ('OK')	application/font-woff	etag:%221cf96044c3ad588%22	https://one.encodeinfotech.com/lib/open-conic/fonts/open-iconic.woff	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/open-conic/fonts/open-iconic.woff	(from https://one.encodeinfotech.com/lib/open-conic/css/open-iconic-bootstrap.min.css)
18:37:03	28028/28028	---M--	200	added ('OK')	application/x-font-ttf	etag:%221cf96044c3a827c%22	https://one.encodeinfotech.com/lib/open-conic/fonts/open-iconic.ttf	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/open-conic/fonts/open-iconic.ttf	(from https://one.encodeinfotech.com/lib/open-conic/css/open-iconic-bootstrap.min.css)
18:37:06	20996/20996	---M--	200	added ('OK')	font/otf	etag:%221cf96044c3abd04%22	https://one.encodeinfotech.com/lib/open-conic/fonts/open-iconic.otf	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/open-conic/fonts/open-iconic.otf	(from https://one.encodeinfotech.com/lib/open-conic/css/open-iconic-bootstrap.min.css)
18:37:08	54789/54789	---M--	200	added ('OK')	image/svg+xml	etag:%221cf96044c3a3905%22	https://one.encodeinfotech.com/lib/open-conic/fonts/open-iconic.svg	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/lib/open-conic/fonts/open-iconic.svg	(from https://one.encodeinfotech.com/lib/open-conic/css/open-iconic-bootstrap.min.css)
18:37:12	1855/1855	---M--	200	added ('OK')	image/png	etag:%221d42135a709a83f%22	https://one.encodeinfotech.com/images/table-loading.png	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/images/table-loading.png	(from https://one.encodeinfotech.com/css/site.min.css?v=tmqmN6_0kJDe7fnylIZZqslslFLtARTV3Kc-huPRako)
18:37:12	0/-1	---M--	302	error ('')			https://one.encodeinfotech.com/Identity/Account/Logout	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Logout.49.delayed	(from https://one.encodeinfotech.com/User/UserProfile)
